ID,time,mass,x,y,z
0,469.816,1.0,0.299,0.042,0.088
1,469.816,0.75,0.247,0.102,-0.029
2,469.816,1.2,0.035,-0.569,-0.066
3,469.816,0.7,-0.313,0.254,0.154
4,469.816,1.1,-0.279,0.351,-0.087
0,470.403,1.0,0.247,0.198,0.007
1,470.403,0.75,0.246,0.109,0.048
2,470.403,1.2,0.175,-0.526,-0.049
3,470.403,0.7,-0.378,0.05,0.095
4,470.403,1.1,-0.343,0.287,-0.045
0,470.991,1.0,0.241,0.299,0.055
1,470.991,0.75,0.139,0.17,-0.052
2,470.991,1.2,0.312,-0.462,-0.031
3,470.991,0.7,-0.415,-0.109,0.004
4,470.991,1.1,-0.39,0.184,0.017
0,471.578,1.0,0.178,0.325,0.062
1,471.578,0.75,0.071,0.301,-0.097
2,471.578,1.2,0.438,-0.378,-0.012
3,471.578,0.7,-0.428,-0.214,-0.087
4,471.578,1.1,-0.416,0.049,0.077
0,472.165,1.0,0.058,0.338,-0.007
1,472.165,0.75,0.054,0.413,-0.038
2,472.165,1.2,0.553,-0.282,0.008
3,472.165,0.7,-0.425,-0.275,-0.152
4,472.165,1.1,-0.423,-0.106,0.12
0,472.752,1.0,-0.0,0.471,-0.016
1,472.752,0.75,-0.055,0.329,-0.054
2,472.752,1.2,0.654,-0.176,0.028
3,472.752,0.7,-0.41,-0.305,-0.179
4,472.752,1.1,-0.415,-0.267,0.135
0,473.34,1.0,-0.055,0.48,0.019
1,473.34,0.75,-0.171,0.379,-0.127
2,473.34,1.2,0.742,-0.065,0.047
3,473.34,0.7,-0.387,-0.32,-0.16
4,473.34,1.1,-0.397,-0.421,0.12
0,473.927,1.0,-0.147,0.445,0.007
1,473.927,0.75,-0.236,0.462,-0.135
2,473.927,1.2,0.82,0.049,0.065
3,473.927,0.7,-0.359,-0.342,-0.093
4,473.927,1.1,-0.372,-0.555,0.075
0,474.514,1.0,-0.273,0.476,-0.083
1,474.514,0.75,-0.251,0.434,-0.038
2,474.514,1.2,0.888,0.163,0.082
3,474.514,0.7,-0.328,-0.399,0.009
4,474.514,1.1,-0.341,-0.652,0.006
0,475.101,1.0,-0.3,0.517,-0.032
1,475.101,0.75,-0.39,0.373,-0.127
2,475.101,1.2,0.948,0.277,0.099
3,475.101,0.7,-0.298,-0.511,0.109
4,475.101,1.1,-0.306,-0.701,-0.062
0,475.689,1.0,-0.361,0.473,-0.011
1,475.689,0.75,-0.478,0.41,-0.172
2,475.689,1.2,1.001,0.389,0.114
3,475.689,0.7,-0.268,-0.663,0.164
4,475.689,1.1,-0.268,-0.712,-0.102
0,476.276,1.0,-0.459,0.406,-0.048
1,476.276,0.75,-0.509,0.464,-0.139
2,476.276,1.2,1.05,0.5,0.13
3,476.276,0.7,-0.237,-0.821,0.163
4,476.276,1.1,-0.23,-0.709,-0.107
0,476.863,1.0,-0.534,0.467,-0.089
1,476.863,0.75,-0.565,0.338,-0.1
2,476.863,1.2,1.093,0.609,0.144
3,476.863,0.7,-0.205,-0.954,0.113
4,476.863,1.1,-0.192,-0.712,-0.081
0,477.451,1.0,-0.563,0.441,-0.043
1,477.451,0.75,-0.673,0.317,-0.176
2,477.451,1.2,1.133,0.717,0.158
3,477.451,0.7,-0.172,-1.049,0.034
4,477.451,1.1,-0.156,-0.732,-0.036
0,478.038,1.0,-0.625,0.368,-0.038
1,478.038,0.75,-0.731,0.351,-0.195
2,478.038,1.2,1.17,0.823,0.172
3,478.038,0.7,-0.136,-1.1,-0.054
4,478.038,1.1,-0.122,-0.772,0.014
0,478.625,1.0,-0.736,0.311,-0.117
1,478.625,0.75,-0.718,0.356,-0.101
2,478.625,1.2,1.203,0.927,0.185
3,478.625,0.7,-0.1,-1.109,-0.135
4,478.625,1.1,-0.091,-0.831,0.059
0,479.212,1.0,-0.752,0.361,-0.085
1,479.212,0.75,-0.824,0.212,-0.154
2,479.212,1.2,1.235,1.029,0.198
3,479.212,0.7,-0.063,-1.084,-0.194
4,479.212,1.1,-0.061,-0.906,0.09
0,479.8,1.0,-0.785,0.3,-0.052
1,479.8,0.75,-0.903,0.209,-0.208
2,479.8,1.2,1.264,1.13,0.211
3,479.8,0.7,-0.027,-1.034,-0.22
4,479.8,1.1,-0.033,-0.99,0.099
0,480.387,1.0,-0.852,0.209,-0.069
1,480.387,0.75,-0.928,0.241,-0.194
2,480.387,1.2,1.291,1.23,0.223
3,480.387,0.7,0.007,-0.977,-0.203
4,480.387,1.1,-0.006,-1.074,0.081
0,480.974,1.0,-0.931,0.224,-0.136
1,480.974,0.75,-0.933,0.127,-0.113
2,480.974,1.2,1.317,1.328,0.235
3,480.974,0.7,0.038,-0.933,-0.14
4,480.974,1.1,0.022,-1.145,0.033
0,481.561,1.0,-0.934,0.2,-0.08
1,481.561,0.75,-1.033,0.06,-0.194
2,481.561,1.2,1.342,1.424,0.247
3,481.561,0.7,0.063,-0.93,-0.043
4,481.561,1.1,0.05,-1.184,-0.036
0,482.149,1.0,-0.97,0.116,-0.063
1,482.149,0.75,-1.084,0.069,-0.224
2,482.149,1.2,1.365,1.52,0.258
3,482.149,0.7,0.083,-0.99,0.055
4,482.149,1.1,0.079,-1.18,-0.106
0,482.736,1.0,-1.049,0.021,-0.112
1,482.736,0.75,-1.072,0.088,-0.165
2,482.736,1.2,1.387,1.614,0.27
3,482.736,0.7,0.101,-1.099,0.109
4,482.736,1.1,0.108,-1.14,-0.149
0,483.323,1.0,-1.075,0.064,-0.121
1,483.323,0.75,-1.125,-0.08,-0.159
2,483.323,1.2,1.408,1.707,0.281
3,483.323,0.7,0.118,-1.217,0.102
4,483.323,1.1,0.134,-1.092,-0.152
0,483.91,1.0,-1.083,0.002,-0.078
1,483.91,0.75,-1.197,-0.111,-0.222
2,483.91,1.2,1.428,1.799,0.292
3,483.91,0.7,0.137,-1.31,0.046
4,483.91,1.1,0.156,-1.055,-0.125
0,484.498,1.0,-1.124,-0.097,-0.079
1,484.498,0.75,-1.219,-0.095,-0.226
2,484.498,1.2,1.447,1.89,0.302
3,484.498,0.7,0.158,-1.364,-0.036
4,484.498,1.1,0.175,-1.04,-0.081
0,485.085,1.0,-1.206,-0.136,-0.164
1,485.085,0.75,-1.182,-0.164,-0.118
2,485.085,1.2,1.466,1.98,0.313
3,485.085,0.7,0.179,-1.375,-0.125
4,485.085,1.1,0.19,-1.049,-0.033
0,485.672,1.0,-1.188,-0.137,-0.107
1,485.672,0.75,-1.272,-0.286,-0.197
2,485.672,1.2,1.483,2.069,0.323
3,485.672,0.7,0.2,-1.348,-0.203
4,485.672,1.1,0.202,-1.079,0.009
0,486.26,1.0,-1.201,-0.223,-0.079
1,486.26,0.75,-1.317,-0.297,-0.239
2,486.26,1.2,1.5,2.157,0.334
3,486.26,0.7,0.219,-1.29,-0.258
4,486.26,1.1,0.213,-1.127,0.035
0,486.847,1.0,-1.25,-0.331,-0.106
1,486.847,0.75,-1.307,-0.28,-0.207
2,486.847,1.2,1.517,2.244,0.344
3,486.847,0.7,0.237,-1.212,-0.279
4,486.847,1.1,0.222,-1.185,0.04
0,487.434,1.0,-1.286,-0.311,-0.149
1,487.434,0.75,-1.309,-0.437,-0.153
2,487.434,1.2,1.533,2.33,0.354
3,487.434,0.7,0.25,-1.129,-0.256
4,487.434,1.1,0.23,-1.243,0.017
0,488.021,1.0,-1.27,-0.366,-0.097
1,488.021,0.75,-1.375,-0.497,-0.225
2,488.021,1.2,1.549,2.416,0.364
3,488.021,0.7,0.258,-1.065,-0.188
4,488.021,1.1,0.239,-1.287,-0.036
0,488.609,1.0,-1.286,-0.467,-0.085
1,488.609,0.75,-1.394,-0.495,-0.243
2,488.609,1.2,1.564,2.501,0.374
3,488.609,0.7,0.26,-1.048,-0.089
4,488.609,1.1,0.248,-1.299,-0.108
0,489.196,1.0,-1.351,-0.562,-0.155
1,489.196,0.75,-1.341,-0.506,-0.153
2,489.196,1.2,1.578,2.585,0.383
3,489.196,0.7,0.257,-1.097,0.005
4,489.196,1.1,0.258,-1.267,-0.176
0,489.783,1.0,-1.332,-0.532,-0.129
1,489.783,0.75,-1.396,-0.683,-0.19
2,489.783,1.2,1.592,2.669,0.393
3,489.783,0.7,0.252,-1.192,0.049
4,489.783,1.1,0.265,-1.204,-0.213
0,490.37,1.0,-1.32,-0.614,-0.091
1,490.37,0.75,-1.435,-0.713,-0.243
2,490.37,1.2,1.606,2.751,0.403
3,490.37,0.7,0.247,-1.289,0.031
4,490.37,1.1,0.269,-1.137,-0.211
0,490.958,1.0,-1.342,-0.727,-0.101
1,490.958,0.75,-1.423,-0.703,-0.231
2,490.958,1.2,1.62,2.834,0.412
3,490.958,0.7,0.245,-1.36,-0.032
4,490.958,1.1,0.267,-1.086,-0.18
0,491.545,1.0,-1.384,-0.741,-0.171
1,491.545,0.75,-1.378,-0.826,-0.14
2,491.545,1.2,1.633,2.915,0.421
3,491.545,0.7,0.244,-1.389,-0.117
4,491.545,1.1,0.261,-1.059,-0.135
0,492.132,1.0,-1.344,-0.777,-0.112
1,492.132,0.75,-1.437,-0.921,-0.22
2,492.132,1.2,1.646,2.996,0.431
3,492.132,0.7,0.243,-1.378,-0.204
4,492.132,1.1,0.252,-1.058,-0.088
0,492.72,1.0,-1.335,-0.876,-0.09
1,492.72,0.75,-1.449,-0.932,-0.251
2,492.72,1.2,1.658,3.076,0.44
3,492.72,0.7,0.24,-1.33,-0.279
4,492.72,1.1,0.239,-1.078,-0.049
0,493.307,1.0,-1.367,-0.99,-0.132
1,493.307,0.75,-1.399,-0.924,-0.196
2,493.307,1.2,1.67,3.156,0.449
3,493.307,0.7,0.236,-1.254,-0.328
4,493.307,1.1,0.224,-1.115,-0.027
0,493.894,1.0,-1.357,-0.963,-0.148
1,493.894,0.75,-1.398,-1.105,-0.177
2,493.894,1.2,1.682,3.236,0.458
3,493.894,0.7,0.227,-1.161,-0.341
4,493.894,1.1,0.207,-1.162,-0.028
0,494.481,1.0,-1.319,-1.035,-0.101
1,494.481,0.75,-1.429,-1.154,-0.241
2,494.481,1.2,1.694,3.314,0.467
3,494.481,0.7,0.213,-1.068,-0.308
4,494.481,1.1,0.189,-1.208,-0.058
0,495.069,1.0,-1.312,-1.146,-0.097
1,495.069,0.75,-1.41,-1.151,-0.246
2,495.069,1.2,1.706,3.393,0.476
3,495.069,0.7,0.192,-1.001,-0.231
4,495.069,1.1,0.172,-1.237,-0.116
0,495.656,1.0,-1.351,-1.209,-0.18
1,495.656,0.75,-1.323,-1.213,-0.136
2,495.656,1.2,1.717,3.47,0.485
3,495.656,0.7,0.163,-0.99,-0.129
